Sl. No,State,District,block,Condition 2024
466,Uttar Pradesh,Kanpur Dehat,Sarwan Khera,Semi_Critical
467,Uttar Pradesh,Kanpur Nagar,Bhitargaon,Safe
468,Uttar Pradesh,Kanpur Nagar,Bidhnu,Semi_Critical
469,Uttar Pradesh,Kanpur Nagar,Bilhaur,Semi_Critical
470,Uttar Pradesh,Kanpur Nagar,Chaubepur,Critical
471,Uttar Pradesh,Kanpur Nagar,Ghatampur,Semi_Critical
472,Uttar Pradesh,Kanpur Nagar,Kakwan,Safe
473,Uttar Pradesh,Kanpur Nagar,Kalyanpur,Safe
474,Uttar Pradesh,Kanpur Nagar,Parara,Semi_Critical
475,Uttar Pradesh,Kanpur Nagar,Sarsol,Semi_Critical
476,Uttar Pradesh,Kanpur Nagar,Shivrajapur,Semi_Critical
477,Uttar Pradesh,Kanpur Nagar,Kanpur City,Critical
478,Uttar Pradesh,Kasganj,Amanpur,Safe
479,Uttar Pradesh,Kasganj,Ganjdundwara,Semi_Critical
480,Uttar Pradesh,Kasganj,Kasganj,Semi_Critical
481,Uttar Pradesh,Kasganj,Patiyali,Semi_Critical
482,Uttar Pradesh,Kasganj,Sahawar,Safe
483,Uttar Pradesh,Kasganj,Sidhpura,Safe
484,Uttar Pradesh,Kasganj,Soron,Safe
485,Uttar Pradesh,Kaushambi,Chail,Over_Exploited
486,Uttar Pradesh,Kaushambi,Kara,Semi_Critical
487,Uttar Pradesh,Kaushambi,Kaushambi,Safe
488,Uttar Pradesh,Kaushambi,Manjhanpur,Semi_Critical
489,Uttar Pradesh,Kaushambi,Muratganj,Over_Exploited
490,Uttar Pradesh,Kaushambi,Newada,Semi_Critical
491,Uttar Pradesh,Kaushambi,Sarsawan,Safe
492,Uttar Pradesh,Kaushambi,Sirathu,Semi_Critical
493,Uttar Pradesh,Kushi Nagar,Dudhahi,Safe
494,Uttar Pradesh,Kushi Nagar,Fazil Nagar,Safe
495,Uttar Pradesh,Kushi Nagar,Hata,Safe
496,Uttar Pradesh,Kushi Nagar,Kaptanganj,Safe
497,Uttar Pradesh,Kushi Nagar,Kasya,Safe
498,Uttar Pradesh,Kushi Nagar,Khadda,Safe
499,Uttar Pradesh,Kushi Nagar,Motichak,Safe
500,Uttar Pradesh,Kushi Nagar,Nedua Naurangiya,Safe
501,Uttar Pradesh,Kushi Nagar,Padrauna,Safe
502,Uttar Pradesh,Kushi Nagar,Ramkola,Safe
503,Uttar Pradesh,Kushi Nagar,Siwarhi,Safe
504,Uttar Pradesh,Kushi Nagar,Sukrauli,Safe
505,Uttar Pradesh,Kushi Nagar,Tamkuhi Raj,Safe
506,Uttar Pradesh,Kushi Nagar,Vishunpurwa,Safe
507,Uttar Pradesh,Lakhimpur Kheri,Bankeyganj,Safe
508,Uttar Pradesh,Lakhimpur Kheri,Behjam,Safe
509,Uttar Pradesh,Lakhimpur Kheri,Bijua,Safe
510,Uttar Pradesh,Lakhimpur Kheri,Dhaurahara,Safe
511,Uttar Pradesh,Lakhimpur Kheri,Isanagar,Safe
512,Uttar Pradesh,Lakhimpur Kheri,Kumbhigola,Safe
513,Uttar Pradesh,Lakhimpur Kheri,Lakhimpur,Safe
514,Uttar Pradesh,Lakhimpur Kheri,Mitauli,Safe
515,Uttar Pradesh,Lakhimpur Kheri,Mohammadi,Safe
516,Uttar Pradesh,Lakhimpur Kheri,Nakaha,Safe
517,Uttar Pradesh,Lakhimpur Kheri,Nighasan,Safe
518,Uttar Pradesh,Lakhimpur Kheri,Palia,Safe
519,Uttar Pradesh,Lakhimpur Kheri,Pasgawan,Safe
520,Uttar Pradesh,Lakhimpur Kheri,Phulbehar,Safe
521,Uttar Pradesh,Lakhimpur Kheri,Ramiabehar,Safe
522,Uttar Pradesh,Lalitpur,Bar,Semi_Critical
523,Uttar Pradesh,Lalitpur,Birdha,Semi_Critical
524,Uttar Pradesh,Lalitpur,Jakhora,Semi_Critical
525,Uttar Pradesh,Lalitpur,Mandwara,Semi_Critical
526,Uttar Pradesh,Lalitpur,Mahroni,Semi_Critical
527,Uttar Pradesh,Lalitpur,Talbehat,Semi_Critical
528,Uttar Pradesh,Lucknow,Bakshi Ka Talab,Safe
529,Uttar Pradesh,Lucknow,Chinhat,Safe
530,Uttar Pradesh,Lucknow,Gosaiganj,Safe
531,Uttar Pradesh,Lucknow,Kakori,Safe
532,Uttar Pradesh,Lucknow,Mal,Safe
533,Uttar Pradesh,Lucknow,Malihabad,Semi_Critical
534,Uttar Pradesh,Lucknow,Mohanlalganj,Safe
535,Uttar Pradesh,Lucknow,Sarojni Nagar,Safe
536,Uttar Pradesh,Lucknow,Lucknow City,Over_Exploited
537,Uttar Pradesh,Mahoba,Charkhari,Semi_Critical
538,Uttar Pradesh,Mahoba,Jaitpur,Over_Exploited
539,Uttar Pradesh,Mahoba,Kabrai,Semi_Critical
540,Uttar Pradesh,Mahoba,Panwari,Over_Exploited
541,Uttar Pradesh,Mahrajganj,Brijmanganj,Safe
542,Uttar Pradesh,Mahrajganj,Dhani,Safe
543,Uttar Pradesh,Mahrajganj,Ghughuli,Safe
544,Uttar Pradesh,Mahrajganj,Lakshmipur,Safe
545,Uttar Pradesh,Mahrajganj,Maharajganj,Safe
546,Uttar Pradesh,Mahrajganj,Mithaura,Safe
547,Uttar Pradesh,Mahrajganj,Nautanwa,Safe
548,Uttar Pradesh,Mahrajganj,Nichlaul,Safe
549,Uttar Pradesh,Mahrajganj,Paniara,Safe
550,Uttar Pradesh,Mahrajganj,Partawal,Safe
551,Uttar Pradesh,Mahrajganj,Pharenda,Safe
552,Uttar Pradesh,Mahrajganj,Siswa Bazar,Safe
553,Uttar Pradesh,Mainpuri,Barnahal,Over_Exploited
554,Uttar Pradesh,Mainpuri,Bewar,Safe
555,Uttar Pradesh,Mainpuri,Ghiror,Safe
556,Uttar Pradesh,Mainpuri,Jagir,Semi_Critical
557,Uttar Pradesh,Mainpuri,Karhal,Safe
558,Uttar Pradesh,Mainpuri,Kishni,Safe
559,Uttar Pradesh,Mainpuri,Kurawali,Semi_Critical
560,Uttar Pradesh,Mainpuri,Mainpuri,Semi_Critical
561,Uttar Pradesh,Mainpuri,Sultanganj,Safe
562,Uttar Pradesh,Mathura,Baldeo,Critical
563,Uttar Pradesh,Mathura,Chaumuhan,Safe
564,Uttar Pradesh,Mathura,Chhata,Safe
565,Uttar Pradesh,Mathura,Farah,Safe
566,Uttar Pradesh,Mathura,Govardhan,Safe
567,Uttar Pradesh,Mathura,Mat,Safe
568,Uttar Pradesh,Mathura,Mathura,Safe
569,Uttar Pradesh,Mathura,Nandgaon,Safe
570,Uttar Pradesh,Mathura,Nohjhil,Critical
571,Uttar Pradesh,Mathura,Raya,Over_Exploited
572,Uttar Pradesh,Maunath Bhanjan,Badraon,Safe
573,Uttar Pradesh,Maunath Bhanjan,Dohri Ghat,Safe
574,Uttar Pradesh,Maunath Bhanjan,Fatehpur Madraun,Safe
575,Uttar Pradesh,Maunath Bhanjan,Ghosi,Safe
576,Uttar Pradesh,Maunath Bhanjan,Kopaganj,Safe
577,Uttar Pradesh,Maunath Bhanjan,Mohammadabad,Safe
578,Uttar Pradesh,Maunath Bhanjan,Pardaha,Safe
579,Uttar Pradesh,Maunath Bhanjan,Ranipur,Safe
580,Uttar Pradesh,Maunath Bhanjan,Ratanpura,Safe
581,Uttar Pradesh,Meerut,Daurala,Semi_Critical
582,Uttar Pradesh,Meerut,Hastinapur,Safe
583,Uttar Pradesh,Meerut,Jani,Safe
584,Uttar Pradesh,Meerut,Kharkhoda,Critical
585,Uttar Pradesh,Meerut,Machhra,Critical
586,Uttar Pradesh,Meerut,Mawana Kalan,Semi_Critical
587,Uttar Pradesh,Meerut,Meerut,Semi_Critical
588,Uttar Pradesh,Meerut,Parichhatgarh,Semi_Critical
589,Uttar Pradesh,Meerut,Rajpura,Semi_Critical
590,Uttar Pradesh,Meerut,Rohta,Safe
591,Uttar Pradesh,Meerut,Sardhana,Safe
592,Uttar Pradesh,Meerut,Sarurpur,Semi_Critical
593,Uttar Pradesh,Meerut,Meerut City,Over_Exploited
594,Uttar Pradesh,Mirzapur,Chanbey,Safe
595,Uttar Pradesh,Mirzapur,City,Semi_Critical
596,Uttar Pradesh,Mirzapur,Hallia,Safe
597,Uttar Pradesh,Mirzapur,Jamalpur,Safe
598,Uttar Pradesh,Mirzapur,Kon,Critical
599,Uttar Pradesh,Mirzapur,Lalganj,Safe
600,Uttar Pradesh,Mirzapur,Majhawan,Critical
601,Uttar Pradesh,Mirzapur,Marihan,Safe
602,Uttar Pradesh,Mirzapur,Narayanpur,Safe
603,Uttar Pradesh,Mirzapur,Pahari,Safe
604,Uttar Pradesh,Mirzapur,Rajgarh,Safe
605,Uttar Pradesh,Mirzapur,Sikhar,Semi_Critical
606,Uttar Pradesh,Moradabad,Bilari,Critical
607,Uttar Pradesh,Moradabad,Chhajlet,Semi_Critical
608,Uttar Pradesh,Moradabad,Dilari,Semi_Critical
609,Uttar Pradesh,Moradabad,Kundarki (Dengapur),Semi_Critical
610,Uttar Pradesh,Moradabad,Moradabad,Semi_Critical
611,Uttar Pradesh,Moradabad,Mundapandey,Semi_Critical
612,Uttar Pradesh,Moradabad,Thakurdwara,Safe
613,Uttar Pradesh,Moradabad,Bhagatpur,Safe
614,Uttar Pradesh,Moradabad,Moradabad City,Over_Exploited
615,Uttar Pradesh,Muzaffarnagar,Bhaghara,Over_Exploited
616,Uttar Pradesh,Muzaffarnagar,Budhana,Critical
617,Uttar Pradesh,Muzaffarnagar,Charthawal,Critical
618,Uttar Pradesh,Muzaffarnagar,Jansath,Safe
619,Uttar Pradesh,Muzaffarnagar,Khatauli,Safe
620,Uttar Pradesh,Muzaffarnagar,Morna,Safe
621,Uttar Pradesh,Muzaffarnagar,Muzaffarnagar,Critical
622,Uttar Pradesh,Muzaffarnagar,Purqaji,Semi_Critical
623,Uttar Pradesh,Muzaffarnagar,Shahpur,Semi_Critical
624,Uttar Pradesh,Pilibhit,Amaria,Safe
625,Uttar Pradesh,Pilibhit,Barkhera,Safe
626,Uttar Pradesh,Pilibhit,Bilsanda,Safe
627,Uttar Pradesh,Pilibhit,Bisalpur,Safe
628,Uttar Pradesh,Pilibhit,Lalaurikhera,Safe
629,Uttar Pradesh,Pilibhit,Marauri,Safe
630,Uttar Pradesh,Pilibhit,Puranpur,Safe
631,Uttar Pradesh,Pratapgarh,Aspur Deosara,Safe
632,Uttar Pradesh,Pratapgarh,Baba Belkhar Nath,Semi_Critical
633,Uttar Pradesh,Pratapgarh,Babaganj,Safe
634,Uttar Pradesh,Pratapgarh,Bihar,Safe
635,Uttar Pradesh,Pratapgarh,Gaura,Semi_Critical
636,Uttar Pradesh,Pratapgarh,Kalanker,Safe
637,Uttar Pradesh,Pratapgarh,Kunda,Safe
638,Uttar Pradesh,Pratapgarh,Lakshamanpur,Semi_Critical
639,Uttar Pradesh,Pratapgarh,Lalganj,Semi_Critical
640,Uttar Pradesh,Pratapgarh,Mandhata,Critical
641,Uttar Pradesh,Pratapgarh,Mangaraura,Semi_Critical
642,Uttar Pradesh,Pratapgarh,Patti,Semi_Critical
643,Uttar Pradesh,Pratapgarh,Rampur-Sangramgarh,Semi_Critical
644,Uttar Pradesh,Pratapgarh,Sadar,Critical
645,Uttar Pradesh,Pratapgarh,Sandwa Chandika,Critical
646,Uttar Pradesh,Pratapgarh,Sangaipur,Safe
647,Uttar Pradesh,Pratapgarh,Shivgarh,Critical
648,Uttar Pradesh,Prayagraj,Bahadurpur,Semi_Critical
649,Uttar Pradesh,Prayagraj,Baharia,Safe
650,Uttar Pradesh,Prayagraj,Chaka,Critical
651,Uttar Pradesh,Prayagraj,Dhanupur,Semi_Critical
652,Uttar Pradesh,Prayagraj,Handia,Safe
653,Uttar Pradesh,Prayagraj,Holagarh,Safe
654,Uttar Pradesh,Prayagraj,Jasra,Safe
655,Uttar Pradesh,Prayagraj,Karchana,Safe
656,Uttar Pradesh,Prayagraj,Kaudhiyara,Safe
657,Uttar Pradesh,Prayagraj,Kaurihar,Semi_Critical
658,Uttar Pradesh,Prayagraj,Koraon,Safe
659,Uttar Pradesh,Prayagraj,Manda,Safe
660,Uttar Pradesh,Prayagraj,Mauaima,Semi_Critical
661,Uttar Pradesh,Prayagraj,Meja,Safe
662,Uttar Pradesh,Prayagraj,Phulpur,Semi_Critical
663,Uttar Pradesh,Prayagraj,Pratappur,Semi_Critical
664,Uttar Pradesh,Prayagraj,Saidabad,Semi_Critical
665,Uttar Pradesh,Prayagraj,Shankargarh,Safe
666,Uttar Pradesh,Prayagraj,Soraon,Safe
667,Uttar Pradesh,Prayagraj,Uruwan,Safe
668,Uttar Pradesh,Prayagraj,Bhagwatpur,Safe
669,Uttar Pradesh,Prayagraj,Sahson,Critical
670,Uttar Pradesh,Prayagraj,Shringverpur Dham,Semi_Critical
671,Uttar Pradesh,Prayagraj,Prayagraj City,Over_Exploited
672,Uttar Pradesh,Raibareli,Amawan,Safe
673,Uttar Pradesh,Raibareli,Bachrawan,Safe
674,Uttar Pradesh,Raibareli,Dalmau,Safe
675,Uttar Pradesh,Raibareli,Deensah Gaura,Safe
676,Uttar Pradesh,Raibareli,Harchandpur,Safe
677,Uttar Pradesh,Raibareli,Jagatpur,Safe
678,Uttar Pradesh,Raibareli,Khiron,Safe
679,Uttar Pradesh,Raibareli,Lalganj,Safe
680,Uttar Pradesh,Raibareli,Maharajganj,Safe
681,Uttar Pradesh,Raibareli,Rahi,Safe
682,Uttar Pradesh,Raibareli,Rohaniya,Safe
683,Uttar Pradesh,Raibareli,Saraini,Safe
684,Uttar Pradesh,Raibareli,Satawan,Safe
685,Uttar Pradesh,Raibareli,Shivgarh,Safe
686,Uttar Pradesh,Raibareli,Unchahar,Safe
687,Uttar Pradesh,Raibareli,Chhatoh,Safe
688,Uttar Pradesh,Raibareli,Dih,Safe
689,Uttar Pradesh,Raibareli,Salaon,Safe
690,Uttar Pradesh,Rampur,Bilaspur,Safe
691,Uttar Pradesh,Rampur,Chamrauwa,Semi_Critical
692,Uttar Pradesh,Rampur,Milak,Safe
693,Uttar Pradesh,Rampur,Said Nagar,Semi_Critical
694,Uttar Pradesh,Rampur,Saur,Semi_Critical
695,Uttar Pradesh,Rampur,Shahabad,Semi_Critical
696,Uttar Pradesh,Saharanpur,Ballia Kheri,Semi_Critical
697,Uttar Pradesh,Saharanpur,Deoband,Semi_Critical
698,Uttar Pradesh,Saharanpur,Gangoh,Over_Exploited
699,Uttar Pradesh,Saharanpur,Muzaffarabad,Safe
700,Uttar Pradesh,Saharanpur,Nagal,Over_Exploited
701,Uttar Pradesh,Saharanpur,Nakur,Over_Exploited
702,Uttar Pradesh,Saharanpur,Nanauta,Semi_Critical
703,Uttar Pradesh,Saharanpur,Punwarka,Safe
704,Uttar Pradesh,Saharanpur,Rampur Maniharan,Semi_Critical
705,Uttar Pradesh,Saharanpur,Sadhauli Kadeem,Semi_Critical
706,Uttar Pradesh,Saharanpur,Sarsawa,Over_Exploited
707,Uttar Pradesh,Sambhal,Asmoli,Semi_Critical
708,Uttar Pradesh,Sambhal,Bahjoi,Semi_Critical
709,Uttar Pradesh,Sambhal,Baniakhera,Critical
710,Uttar Pradesh,Sambhal,Gunnaur,Semi_Critical
711,Uttar Pradesh,Sambhal,Janawai,Semi_Critical
712,Uttar Pradesh,Sambhal,Pawansa,Critical
713,Uttar Pradesh,Sambhal,Rajpura,Safe
714,Uttar Pradesh,Sambhal,Sambhal,Critical
715,Uttar Pradesh,Sant Kabir Nagar,Baghauli,Safe
716,Uttar Pradesh,Sant Kabir Nagar,Haisar Bazar,Safe
717,Uttar Pradesh,Sant Kabir Nagar,Khalilabad,Safe
718,Uttar Pradesh,Sant Kabir Nagar,Mehdawal,Safe
719,Uttar Pradesh,Sant Kabir Nagar,Nath Nagar,Safe
720,Uttar Pradesh,Sant Kabir Nagar,Pauli,Safe
721,Uttar Pradesh,Sant Kabir Nagar,Santha,Safe
722,Uttar Pradesh,Sant Kabir Nagar,Semariyawan,Safe
723,Uttar Pradesh,Sant Kabir Nagar,Velhar Klan,Safe
724,Uttar Pradesh,Sant Ravidas Nagar,Abhauli,Semi_Critical
725,Uttar Pradesh,Sant Ravidas Nagar,Aurai,Semi_Critical
726,Uttar Pradesh,Sant Ravidas Nagar,Bhadohi,Semi_Critical
727,Uttar Pradesh,Sant Ravidas Nagar,Deegh,Semi_Critical
728,Uttar Pradesh,Sant Ravidas Nagar,Gyanpur,Semi_Critical
729,Uttar Pradesh,Sant Ravidas Nagar,Suriyawan,Semi_Critical
730,Uttar Pradesh,Shahjahanpur,Banda,Safe
731,Uttar Pradesh,Shahjahanpur,Bhawal Khera,Safe
732,Uttar Pradesh,Shahjahanpur,Dadrol,Safe
733,Uttar Pradesh,Shahjahanpur,Jaitpur,Safe
734,Uttar Pradesh,Shahjahanpur,Jalalabad,Safe
735,Uttar Pradesh,Shahjahanpur,Kalan,Safe
736,Uttar Pradesh,Shahjahanpur,Kanth,Safe
737,Uttar Pradesh,Shahjahanpur,Katra,Safe
738,Uttar Pradesh,Shahjahanpur,Khutar,Safe
739,Uttar Pradesh,Shahjahanpur,Madanapur,Safe
740,Uttar Pradesh,Shahjahanpur,Mirzapur,Safe
741,Uttar Pradesh,Shahjahanpur,Nigohi,Safe
742,Uttar Pradesh,Shahjahanpur,Puyawan,Safe
743,Uttar Pradesh,Shahjahanpur,Sindhauli,Safe
744,Uttar Pradesh,Shahjahanpur,Tilhar,Safe
745,Uttar Pradesh,Shamli,Kairana,Critical
746,Uttar Pradesh,Shamli,Kandhala,Critical
747,Uttar Pradesh,Shamli,Shamli,Over_Exploited
748,Uttar Pradesh,Shamli,Thana Bhawan,Semi_Critical
749,Uttar Pradesh,Shamli,Un,Over_Exploited
750,Uttar Pradesh,Shrawasti,Gilaula,Safe
751,Uttar Pradesh,Shrawasti,Hariharpur Rani,Safe
752,Uttar Pradesh,Shrawasti,Ikauna,Safe
753,Uttar Pradesh,Shrawasti,Jamunaha,Safe
754,Uttar Pradesh,Shrawasti,Sirsiya,Safe
755,Uttar Pradesh,Siddharth Nagar,Bansi,Safe
756,Uttar Pradesh,Siddharth Nagar,Barhani,Safe
757,Uttar Pradesh,Siddharth Nagar,Bhanwapur,Safe
758,Uttar Pradesh,Siddharth Nagar,Birdpur,Safe
759,Uttar Pradesh,Siddharth Nagar,Domariaganj,Safe
760,Uttar Pradesh,Siddharth Nagar,Itwa,Safe
761,Uttar Pradesh,Siddharth Nagar,Jogiya,Safe
762,Uttar Pradesh,Siddharth Nagar,Khesrha,Safe
763,Uttar Pradesh,Siddharth Nagar,Khuniyaw,Safe
764,Uttar Pradesh,Siddharth Nagar,Lotan,Safe
765,Uttar Pradesh,Siddharth Nagar,Mithwal,Safe
766,Uttar Pradesh,Siddharth Nagar,Naugarh,Safe
767,Uttar Pradesh,Siddharth Nagar,Shohatgarh,Safe
768,Uttar Pradesh,Siddharth Nagar,Uska Bazar,Safe
769,Uttar Pradesh,Sitapur,Ailia,Safe
770,Uttar Pradesh,Sitapur,Behta,Safe
771,Uttar Pradesh,Sitapur,Biswan,Safe
772,Uttar Pradesh,Sitapur,Gondlamau,Safe
773,Uttar Pradesh,Sitapur,Hargaon,Safe
774,Uttar Pradesh,Sitapur,Kasmanda,Safe
775,Uttar Pradesh,Sitapur,Khairabad,Safe
776,Uttar Pradesh,Sitapur,Laharpur,Safe
777,Uttar Pradesh,Sitapur,Machhrehta,Safe
778,Uttar Pradesh,Sitapur,Mahmudabad,Safe
779,Uttar Pradesh,Sitapur,Maholi,Safe
780,Uttar Pradesh,Sitapur,Misrikh,Safe
781,Uttar Pradesh,Sitapur,Pahala,Safe
782,Uttar Pradesh,Sitapur,Parsendi,Safe
783,Uttar Pradesh,Sitapur,Pisawan,Safe
784,Uttar Pradesh,Sitapur,Rampur Mathura,Safe
785,Uttar Pradesh,Sitapur,Rewsa,Safe
786,Uttar Pradesh,Sitapur,Sakran,Safe
787,Uttar Pradesh,Sitapur,Sidhauli,Safe
788,Uttar Pradesh,Sonbhadra,Babhani,Safe
789,Uttar Pradesh,Sonbhadra,Chatra,Safe
790,Uttar Pradesh,Sonbhadra,Chopan,Safe
791,Uttar Pradesh,Sonbhadra,Dudhi,Semi_Critical
792,Uttar Pradesh,Sonbhadra,Ghorawal,Safe
793,Uttar Pradesh,Sonbhadra,Myorpur,Safe
794,Uttar Pradesh,Sonbhadra,Nagawa,Safe
795,Uttar Pradesh,Sonbhadra,Robertsganj,Safe
796,Uttar Pradesh,Sonbhadra,Karma,Safe
797,Uttar Pradesh,Sonbhadra,Kone,Safe
798,Uttar Pradesh,Sultanpur,Akhand Nagar,Safe
799,Uttar Pradesh,Sultanpur,Baldirai,Safe
800,Uttar Pradesh,Sultanpur,Bhadaiyan,Safe
801,Uttar Pradesh,Sultanpur,Dhanpatganj,Safe
802,Uttar Pradesh,Sultanpur,Dostpur,Safe
803,Uttar Pradesh,Sultanpur,Dubepur,Safe
804,Uttar Pradesh,Sultanpur,Jai Singhpur,Safe
805,Uttar Pradesh,Sultanpur,Kadipur,Safe
806,Uttar Pradesh,Sultanpur,Kurebhar,Safe
807,Uttar Pradesh,Sultanpur,Kurwar,Safe
808,Uttar Pradesh,Sultanpur,Lambhua,Safe
809,Uttar Pradesh,Sultanpur,Motigarpur,Safe
810,Uttar Pradesh,Sultanpur,P.P. Kannaicha,Safe
811,Uttar Pradesh,Sultanpur,Karondikala,Safe
812,Uttar Pradesh,Unnao,Asoha,Safe
813,Uttar Pradesh,Unnao,Auras,Safe
814,Uttar Pradesh,Unnao,Bangarmau,Safe
815,Uttar Pradesh,Unnao,Bichhia,Safe
816,Uttar Pradesh,Unnao,Bighapur,Safe
817,Uttar Pradesh,Unnao,Fatehpur Chaurasi,Safe
818,Uttar Pradesh,Unnao,Gang Muradabad,Safe
819,Uttar Pradesh,Unnao,Hasanganj,Safe
820,Uttar Pradesh,Unnao,Hilauli,Safe
821,Uttar Pradesh,Unnao,Mianganj,Safe
822,Uttar Pradesh,Unnao,Nawabganj,Safe
823,Uttar Pradesh,Unnao,Purwa,Safe
824,Uttar Pradesh,Unnao,Safipur,Safe
825,Uttar Pradesh,Unnao,Sikandar Sirausi,Safe
826,Uttar Pradesh,Unnao,Sikandarpur Karan,Safe
827,Uttar Pradesh,Unnao,Sumerpur,Safe
828,Uttar Pradesh,Varanasi,Araziline,Over_Exploited
829,Uttar Pradesh,Varanasi,Baragaon,Safe
830,Uttar Pradesh,Varanasi,Chiraigaon,Critical
831,Uttar Pradesh,Varanasi,Cholapur,Safe
832,Uttar Pradesh,Varanasi,Harahua,Over_Exploited
833,Uttar Pradesh,Varanasi,Kashi Vidyapith,Semi_Critical
834,Uttar Pradesh,Varanasi,Pindra,Semi_Critical
835,Uttar Pradesh,Varanasi,Sevapuri,Semi_Critical
836,Uttar Pradesh,Varanasi,Varanasi City,Over_Exploited
